순번,발생 일시,발생 유형,현업 부서,단계,이슈 발생 보고,대응 결과
650,2024-03-04,기획기사,IR그룹,관심,"[포커스ON] 신사업 잘 엮은 포스코인터, 거침없는 ‘실적 고공행진’",아시아투데이
651,2024-03-05,기획기사,홍보그룹,관심,"이계인號 포스코인터, 글로벌 시장서 거침없는 질주…융합·확장으로 미래 먹거리 확보",메트로신문
652,2024-03-08,기획기사,철강사업운영섹션,관심,포스코인터내셔널 중국산 열연 수입 중단 얘기를 들었는데 사실관계 파악해달라고 문의왔습니다,연합뉴스 김동규 기자
653,2024-03-11,기획기사,경영전략그룹,관심,포스코는 반세기 넘은 간판을 어떻게 바꾸고 있나,더벨
654,2024-03-12,보도자료,친환경사업운영섹션,관심,"포스코인터내셔널, 희토류 영구자석 ‘脫중국’ 공급망 구축",
655,2024-03-13,기획기사,친환경사업운영섹션,관심,"흑연 이어 희토류까지...포스코인터, 공급망 탈(脫) 중국 속도 높인다",한국일보
656,2024-03-13,기획기사,친환경사업운영섹션,관심,"포스코·LS, 희토류 영구자석 공급망 다변화 속도",
657,2024-03-19,기자 문의,IR그룹,위험,"금번 공시자료를 보면
미국법인을 포함해 해외 법인들의 실적이 저조하다고 나오고 있다
특히 미국법인은 어떤 사업을 주력으로 하고 있는지?
해외 법인들의 실적이 저조한 이유는 무엇인지?
세넥스에너지도 실적이 저조하다고 나오는데 특별한 이유가 있는 것인지
A. 사업보고서 정정공시 예정
사장님,,
공시오류 관련,
기자들의 문의는 많았으나 메이저 언론으로 확산되지 않았고, 인테넷 매체 두 곳에서 ""단순오류로 정정공시할 예정이다""는 담백한 기사를 게재했습니다.
단독보도한 뉴시스에 경영층 관련 내용은 빼달라고 요청중이며, 홍보그룹장이 편집국장 면담을 위해 현재 뉴시스 사옥 앞에서 대기중입니다.
머니S, 뉴시스 등 마이너 매체들이 사업보고서를 바탕으로 기사를 쓰고 있는 바 당분간 긴장상태를 유지하면서, 노이즈가 발생하지 않도록 면밀히 살피겠습니다.
감사합니다.",뉴시스 안경무 기자
658,2024-03-19,기자 문의,IR그룹,관심,"공시에 매각, 청산으로 기입된 두 건에 대한 내용을 알고 싶다는 의견입니다.
'투자법인과 내용 협의하여 김형규 기자에게 대응했고 기사화 할 건은 아닌 것으로 결론냈습니다.
관계기업 (주)큐로 매각 - 국내 전기차 업체 - 작년 5월에 장내 지분 매도한 건으로, 중국산 전기트럭 도입을 추진하다가 자동차 사업을 중단하며 지분 투자를 철회한 건
관계기업 (주)에스피에이치 청산 - 국내 송도 사원아파트 건설
PT POSCO INTERNATIONAL E&P INDONESIA, E&P USA 설립 - 인도네시아 자카르타 소재, 자원개발 - 미국 텍사스, 자원개발",한국경제 김형규 기자
659,2024-03-19,보도자료,지속가능경영사무국,관심,"포스코인터내셔널, '토닥토닥 몸도계' 프로그램 통해 인천 지역아동 마음건강 챙긴다",
660,2024-03-21,기사 게재,홍보그룹,비상,"- 잭니클라우스 별장 1개 포인터도 가지고 있는걸로 알고있는데 용도가 무엇이냐? 사용한 적이 있냐?
- 잭니클라우스 회원권을 포인터도 가지고 있냐?
- 잭니클라우스사업?에 참여한 동기가 무엇이냐?
글로벌영업 및 이해관계자 대응용이며, 당사 임직원이 사용한 전례는 없다.","뉴시스, 리버티코리아포스트, 오늘경제"
661,2024-03-23,기획기사,친환경사업운영섹션,관심,“맨날 보다보니 만들고 싶네”…새로운 도전도 ○○○ 있어서 문제없다는데 [떴다 상사맨],매일경제
662,2024-03-25,보도자료,홍보그룹,관심,"이계인 포스코인터내셔널 사장, '글로벌 종합사업회사' 닻 올리고 본격 출항",
663,2024-03-26,기자 문의,법인지사관리그룹,관심,"공시를 확인해보니 에너지 사업 관련해서 터키에서 무언가 많이 하고 있는 것 같은데, 현재 터키에서 진행하고 있는 사업현황이 궁금하다
- 이계인 사장님 이력을 보니 이스탄불 지사장으로도 계셨는데, 앞으로 터키에서 추진하고자 하는 사업이 있는지 궁금하다
--> 이계인사장님이 이스탄불 지사장 출신이라고 해서 특별히 터키에 방점을 두지 않고있다. 일반적으로 주재원은 본인이 맡은 아이템 또는 본부가 가장 활발히 사업을 하고 있는 나라로 주재원을 가게 되고, 이계인 사장님이 그 당시 철강담당이고 터키에서 철강 트레이딩이 많아 지사장발령 받으셨을 것으로 알고있다.",비즈니스플러스에 김현정 기자
664,2024-03-27,기자 문의,삼척블루파워,주의,"Q. 삼척블루파워 현재 반대시위에 대한 입장은?
Q. 삼척블루파워 온실가스 배출에 대한 의견을 알고 싶다.
A. 당사는 지분을 투자한 관계사로, 운영주체인 삼척블루파워로부터 입장을 들으시는 게 맞다. (임동조 상무 연결)",아시아투데이
665,2024-03-28,기자 문의,대외협력그룹,관심,"Q. 당일 산업부 주관 CCUS 업계 간담회에서 당사 등 관련기업의 의견 청취하는 세션에서 당사의 주요한 건의사항이 궁금하다.
A. 포스코그룹 넷제로 목표달성과 지원제도 구축된 국가 내 CCS 사업 추진을 위한 지원 요청 1) 동해지역 CCS사업에 그룹 차원 참여 가능성 검토 (국내 저장소 탐사 유망성 평가에 국내 민간사 참여 필요) 2) 호주, 인니 등에서 국경 통과 CCS 사업화 관련 지원 요청 (국가간 COS 이송 등)
참고. 사는 조준수 E&P 사업본부장 참석",쿠키뉴스 김재민 기자 문의
666,2024-03-28,기획기사,홍보그룹,관심,"포스코인터내셔널 이계인 호(號), 친환경 사업으로 성장 가속화",뉴스투데이
667,2024-03-29,보도자료,식량바이오사업운영섹션,관심,"포스코인터내셔널 팜사업, 13년의 지속 성장.. 핵심사업으로 부상",
668,2024-04-02,기자 문의,식량바이오사업운영섹션,관심,"팜사업 고수익성의 비결
우측 표 참조",머니S 최유빈 기자 문의
669,2024-04-02,기자 문의,IR그룹,관심,"Q. 금융위원회에서 배당절차 우수기업으로 선정, 참석했다고 들었다.
포스코인터가 어떤 배당개선을 하였기에 우수기업으로 선정이 되었는지 궁금하다.
1. 배당정책 선진화로 선 배당금 확정, 후 배당일 확정
2. 올해 1월 주주친화정책 발표(배당성향 25%수준 등)
3. 중간배당 시행 검토",연합인포 박형규 기자 문의
670,2024-04-03,기자 문의,HR그룹,주의,"고문변호사로 작년 오신 문강배 변호사 임기 아직 남았나요? 아니면 이번에 만료 해지인지
예전에 UPI 뉴스에서 단독보도로
'윤 대통령 친구 문강배 고문으로 영입' 제목으로 기사화
된 적이 있습니다. 그닥 좋은 내용은 아니었으니
사실 관계 확인 후 조심스럽게 답변 부탁드려요
팩트: 재작년에 와서 작년에 해임.
(이유는 회사법카로 골프치고 등등 과하게 사용+ 하는 일은 없음… )",조선일보 이정구 기자 문의
671,2024-04-04,기자 문의,지속가능경영사무국,관심,"2024년 수출상담회 연간 일정은 어떻게 되는가?
5월 베트남에서부터 상담회 운영을 시작해 11월까지 총 6개국에서 순차적으로 진행될 예정입니다.",기자 문의
672,2024-04-04,기자 문의,IR그룹,관심,"국민연금이 저희 주식 5프로정도 취득했다고하는데 0프로에서 취득한거냐?
잘못된정보다 약 3프로정도 잇엇고 추가취득이다
요 기자취재의 연장선상으로 위 파일의 국민연금 지분비 연관성 관련해서 문의 받았고, ir에 확인해 아래와 같이 대응했습니다.
1) 일반투자-> 단순투자 로 바뀌었는데 알고있었나? 포인터에게는 좋은시그널은 아닐수 있을거 같은데…
알고있었고, 내부에서는 일반투자와 단순투자의 차이를 크게 두고 있지 않다. 일반투자는 경영권에 참여할수있는 권리인데 어차피 국민연금이 경영권에 참여할 일이 없기 때문.
2) 국민연금이 비율을 지속적으로 줄이다가, 이번에 조금 더 산거던데. 전체를 보면 반이상 줄였다.
- 작년초 주가가 많이 올랐기 때문에 그때 이익실현을 하지 않으면 국민연금이 투자를 잘 못하는것이다. 높이 올랐을때 매도해 수익실현하고, 현재는 다시 회사의 미래가치를 보고 매입하고 있는것으로 보인다.",한국일보 기자 문의
673,2024-04-04,보도자료,지속가능경영사무국,관심,"포스코인터, 국내기업 상생과 공급망 안정화 통해 '품격있는 기업'으로 거듭난다",
674,2024-04-09,잠재 이슈,E&P사업운영섹션,주의,"https://www.yna.co.kr/view/AKR20240409076500076?input=1195m
1) 야다나 가스전은 예전에 프랑스 토탈 역시 Exit 했던 가스전으로 이미 노후 가스전으로 분류되어 수익성 저조
2) 셰브론 역시 수익성 감소를 감안했을 것으로 보이며, 표면적으로 미얀마 군부 자금지원 비판을 파하기 위해서 Exit 한 것으로 보임(미얀마 군정 이미 3년 이상 경과한 시점임)
3) 당사 미얀마 가스전 사업 관련해서는 당사의 사업지분에 해당하는 수익금을 배부받는 형식으로 당사는 미얀마 군부와 어떠한 자금거래나 수익배분 관계가 없음. 또는 당사가 MOGE가 가져가는 수익금에 대해서 통제하거나 관여할 수 있는 구조가 아니므로 군부 지원 관련 의혹은 사실이 아님",
675,2024-04-10,기획기사,친환경사업운영섹션,관심,"두께 0.25㎜ 철판 500장 쌓아 만든 '전기차 제2심장'… ""글로벌 점유율 10% 목표""",서울경제
676,2024-04-11,잠재 이슈,에너지사업운영섹션,주의,"오늘 오전 박현 본부장님께서 전화주셨는데 어제 당진 터미널 기사 난거 관련문의주셔서 설명드렸고 향후 언론사에서 문의오면 사업실과 상의해달라하셨습니다
이제야 공유드리네요",
677,2024-04-11,기획기사,식량바이오사업운영섹션,관심,"서울 절반 면적 열대우림서 살려낸 이것, 포스코 알짜 사업 됐다",조선일보
678,2024-04-11,기획기사,친환경사업운영섹션,관심,전기차서 배터리 다음으로 비싼 '이것'…국내 1위 비결은? [biz-플러스],서울경제
679,2024-04-15,기자 문의,법인지사관리그룹,관심,"연합인포 기자 문의 대응입니다.
Q. 중동 관련해서 난리네요 인터 측 중동쪽 사무소 인원 대피한다든지 혹시 뭐 움직임 없는지 해서요
A. 현지 테헤란 사무소의 피해 등은 보고된 바가 없으며, 상황을 면밀히 주시 중이라고 합니다.
(참고. 내일중 현지 총괄하는 두바이지사로부터 사장님 종합 보고 예정)",연합인포 기자 문의
680,2024-04-17,기자 문의,삼척블루파워,주의,"1.삼척블루파워의 운영이 그룹사의 esg 정책에 위배된다는 의견이 있는데 회사 내에서는 어떻게 생각하시나요?
2.삼척블루파워로 인해 탄소 배출이 증가한다면 회사 차원에서 준비된 배출 감량 방안이 있나요?
저희는 지분을 조금 갖고있는 형태여서 운영사에 문의하시는것이 좋을 것 같습니다 .
탄소배출 감량 등 구체적인 향후 계획에 대해서는 운영을 담당하고 있는 삼척블루파워에 문의 주시면 좋겠습니다. 담당자를 연결드리오니 도움되셨으면 좋겠습니다.
* 홍성환 리더 : 010-6664-0726",
681,2024-04-18,잠재 이슈,삼척블루파워,주의,"삼척BP 대관쪽에 관련 내용 문의해 뒀습니다. 상업운전이 시행 됨에 따라 회사 입장을 담은 원보이스도 함께 요청하였으니 정리되는 대로 보고 드리겠습니다.
덧붙여, 환경단체 활동이 거세지고 관련 기사가 확대될 조짐이 보일 경우 우리가 직접 나서지 않고 우호기자 또는 당사에 이해가 높은 에너지관련 교수를 통해 삼척 BP가 우리나라 에너지 안보에 어떤 의미가 있는지 등을 담은 기고문을 게재하는 것도 검토해 보겠습니다.",
682,2024-04-19,보도자료,홍보그룹,관심,"포스코인터내셔널, 대외소통채널 확대해 고객ㆍ주주들과 진정성 있는 소통 잇는다",
683,2024-04-23,잠재 이슈,삼척블루파워,주의,"1. 이슈 개요
○ 4.22 지구의날을 기념하며 주요 환경단체에서 삼척BP 반대시위 개최
○ 한겨레, 경향신문 등 親 환경단체 매체 동행 취재 통해 발전소 운영 비판기사 게재※ 반대시위 주요내용 - 참여일시 : 4.20(토) 13:00 ~ 16:30 - 참여단체 : 기후비상행동, 탈석탄법 시민연대, 석탄을 넘어서, 삼척석탄화력반대투쟁위 등 - 참여인원 : 250여명(경찰추산) - 이동경로 : 맹방해변-한재전망대-유안타-시청-유안타(종료) - 주요주장 : 포스코 사업 철회, 블루파워 가동 중단, 탈석탄법 제정
<기사내용 사실관계 및 One-Voice 대응>
- 최대 출력으로 가동 시 연간 온실가스는 1282만 톤이 발생하는데 이는 2020년 기준 우리나라 총 온실가스 배출량의 2%에 해당하는 수치다 ☞ 1282만톤에 대한 주장은 양이원영 의원이 환경 관련 기관에 조사를 의뢰해 받은 수치임. 환경단체가 주장하는 배출량은 풀가동시 수치로, 정부가 미세먼지 대책을 위한 석탄 가동 일시중단 등을 시행하고 있는 상황에서 실제 환경단체가 주장하는 수치까지 배출된다고 확답해 말할 수 없음. 환경단체는 상황별 억지 주장을 펼치며 무조건적인 운영 반대를 하고 있는 상황임. 온실가스 배출량과 관련해서는 풀가동 상황을 예시로 제시하고 있으며, 석탄발전소 수익성 관련해서는 ESG 추세 속 가동저하를 강조해 앞뒤가 맞지 않는 논리 제시. (예 : 가동저하 상황이 나오면 발전소가 돌지 않기 때문에 多 온실가스 주장은 맞지 않음)
- 2021년부터 3년간 총 4차례 7450억원 규모의 회사채를 모집했지만 반(反)환경적 리스크에 부딪혀 모두 수요예측 전량 미매각됐다 ☞ 삼척BP 회사채의 경우, 자금확보를 위한 최초 설계 당시 증권사(FI)들과 회사채 인수확약을 맺은바 있어 미매각 시에도 당사가 재무적으로 얻는 피해는 없음. 탈석탄을 선언한 금융사(NH, KB 등)를 대신하기 위해 중소형 증권사 중심으로 자금조달 다변화를 모색함. (필요시 사모사채, 기업어음 등 다양한 자금조달 방안을 중소형 증권사, 제2금융권 등과 협의중) 실제 개인채권 투자자의 경우 삼척블루파워 회사채(7%대)에 대해 관심이 높음. (외부에서는 反환경 리스크를 맞고 있지만 고금리 메리트를 원하는 리테일 투자자에게 인기) * 연합인포맥스 “7%대 고금리 채권 사자“… 삼척블루파워 회사채 미매각, 개인이 살렸다(’23.9.19) - 해안침식 등 환경 파괴로 인해 8개월간에 걸친 공사 중지 겪기도 했다 ☞ 해안침식은 이미 2010년부터 발생하고 있는 삼척의 문제였음. 2011년부터 2014년까지 4년간 시행한 강원도의 연안침식 모니터링 결과에 따르면, 맹방해안의 침식 수준은 심각한 C,D등급으로 2015년에는 해양수산부로부터 연안침식관리 구역으로 지정된 바 있음. 삼척BP는 발전소를 건설하며 침식문제를 해결하고자 1,500억원을 투자해 연안정비사업을 추진하고 있음. 他 연안정비사업 관련해 속초해변 약?385억원,?삼척 월천해변 약?201억원 규모였던 것과 비교했을 때 맹방해변의 연안정비사업은 국내 최대 규모임. 해안공사가 중단됐을 당시, 해인침식 전문가와 관계기관은 “현재 완료된 1단계 침식저감 시설은 기능이 제대로 발휘되고 있으며, 항만공사 중지가 지속될 경우 오히려 해안침식을 가속화할 우려가 있어 조속히 공사 재개가 필요하다”는 의견을 제시한바 있음.
- 발전소 상업운전에 대한 삼척BP 側 공식입장(외부 이해관계자 면담시 활용중) ☞ 삼척화력발전소는 제7차 전력수급기본계획에 근거하여 설립된 민간석탄화력발전소로서 국가 기저발전을 통한 안정적인 전력공급으로 국민생활 안정과 삶의 질 향상에 기여하고 있습니다. 삼척화력발전소는 석탄화력의 태생적인 한계로 인해 발생되는 탄소배출 등 환경문제에 대한?시민사회의 우려를 충분히 인지하고 있으며,?이를 해소하기 위해 전사적 차원에서 최선의 노력을 기울이고 있습니다. 삼척화력발전소는?국내 최고 수준의 최신 환경설비를 도입하여 관련 법적기준보다 강화된 환경기준을 자제척으로 적용하여 준수하고 있으며, 향후 탄소배출 저감을 위해 바이오매스, 암모니아 혼소 등 친환경 발전원으로의 전환도 추진하고 있습니다. 이를 통해 국가전력산업의 책임과 의무를 잘 이행 할 수 있도록 최선을 다하겠습니다.
3. 향후 계획
○ 삼척BP 側 이슈대응 계획 수령 후 구체적인 협업방안 논의 (~4.E) - 주요내용 : 이슈대응 전문 홍보대행사 선임(삼척BP), 언론대응 인력강화 방안 등
○ 우호여론 조성을 위한 기획기사 추진 검토 (~4.E) - 부정여론 확산 방지를 위해 우호 교수 및 기자를 통한 전문가 칼럼 추진 * 당사 직접 노출을 최소화 하고 전문가 의견을 통해 삼척BP 운영의 당위성 제시 * 삼척BP에 대한 이미지 환기 효과 기대","부정 기사
○ 한겨레 ‘삼척블루파워’ 가동 또 연기… “탈탄소 위해서라도 멈춰야” (4.21)
○ 경향신문 ‘검은 파도로 덮인 명사십리… 마지막 석탄화력발전소가 죽인 맹방해변‘ (4.21)"
684,2024-04-23,기자 문의,IR그룹,관심,"Q. 올해 1조 에너지투자 재원에 대한 설명
- 회사는 2023년말 기준 EBITDA 약 1.7조원으로 향후에도 비슷한 수준으로 관리할 계획.
- 현금흐름 고려시 3년간 5.9조원 정도 내부에서 조달 가능할 것으로 추산.
- 재무건전성 측면에서 2023년 말 차입금은 연결기준 약 5조 7860억원, 부채비율 150.8%로 전기 대비 부채비율은 33.8% 감소하였음.
- 순부채비율은 57.3%로 양호한 수준",뉴스토마토 김효진 기자
685,2024-04-23,기획기사,IR그룹,관심,포스코인터 '조단위 투자' 거뜬한 현금창출력,더벨
686,2024-04-25,보도자료,IR그룹,관심,"포스코인터내셔널, 글로벌 경기침체에도 견조한 1분기 실적 달성",
687,2024-04-30,보도자료,지속가능경영사무국,관심,"포스코인터내셔널, 휠체어 사용자의 자유로운 이동 도와",
688,2024-05-02,기자 문의,에너지사업운영섹션,주의,"Q. 당진시청으로부터 당진LNG터미널 착공이 예정보다 늦어지는 사유로 포스코인터의 터미널 수요처 확보 방안을 포스코인터로부터 아직 받지 못해서라고 들었다. 혹시 관련되어 진행사항을 알 수 있는지?
A. ""작년 업무협약식 이후 당진 LNG 터미널 임대 고객사(수요처) 확보를 위한 방안을 검토 중""
*내부정보 참조
- 인천제철 발전소를 새로 짓는 건과 맞물려 임대 협상 중에 해당 건이 유찰이 되며 고객사 확보 실패
- 인천발전소 신예화도 홀딩되며 터미널 사업성도 하향된 상황
- 연말까지 정리할지 지속할지 결정할 것으로 내부적으로는 바라보는 중",뉴스토마토 김효진 기자 문의
689,2024-05-04,기획기사,에너지사업운영섹션,관심,이것이 바로 마스터 클래스…포스코인터 터미널 ‘무사고 20년’ 주역 만나보니 [히든 스팟],헤럴드경제
690,2024-05-06,기획기사,식량바이오사업운영섹션,관심,"10년 내다본 印尼 팜유사업, 원자재값 급등속 ‘결실’",동아일보
691,2024-05-07,기자 문의,에너지사업운영섹션,주의,"같은 기자가 현대제철 수요처 확보하지 못한 것 사실인지 팩트체크 문의했습니다.
기존 협의대로 ""개별 고객사와의 협상 결과에 대해서는 구체적으로 언급드릴 수는 없으며, 당사는 터미널의 수요처 확보를 위해 노력 중인 상황""으로 답했습니다.",뉴스토마토 김효진 기자 문의
692,2024-05-10,기자 문의,삼척블루파워,주의,"월요일자 지면기사로
최근 ESG 환경단체로 인해 국내기업들의 LNG 사업이 좌초되거나 힘든 상황을 다룰 예정이라고 합니다.
SK E&S 바로사 가스전과 당사의 삼척BP 사례를 드는 것으로는 컨펌되었고,
삼척BP의 현 애로사항을 팩트 위주로 달라고 합니다. (5~6줄)
이미 해당 아웃라인은 데스크로부터 확정이 되어
삼척BP 다룰시 ""포스코인터"" 언급은 하지 않는 것으로 이야기 한 상황입니다.
(= 포스코 계열사 삼척 BP)
게재 내용 : 석탄화력발전소를 지은 포스코그룹 계열사인 삼척블루파워는 투자금을 조달하는 과정에서 환경단체의 반발에 부딪혔다. 환경단체가 증권사 6곳에 삼척블루파워 회사채 인수를 중단하라고 요청하면서다. 삼척블루파워는 4조9000억원의 사업비 중 1조원 규모를 회사채로 조달할 계획이었다. 올해 6월과 9월 만기를 맞는 회사채는 각각 1000억원, 1500억원인데 삼척블루파워의 현금성 자산은 1100억원에 불과하다.",한국경제 김형규 기자 문의
693,2024-05-14,기자 문의,IR그룹,관심,"Q. 올해와 내년도 에너지투자 재원과 관리 계획은?
- 현금흐름 고려시 3년간 5.9조원 정도 내부에서 조달 가능할 것으로 추산됩니다.
- 재무건전성 측면에서 2023년 말 차입금은 연결기준 약 5조 7860억원, 부채비율 150.8%로 전기 대비 부채비율은 33.8% 감소하였습니다.
- 순부채비율은 57.3%로 이 또한 양호한 수준입니다.
- 23년 포스코에너지와의 합병으로 안정적인 현금 창출능력을 확보한 포스코인터내셔널은 향후 투자시 EBITDA 이내에서 집행할 계획 (2023년말 기준 EBITDA 약 1.7조원으로 유사 수준으로 관리)",더벨 박완준 기자 문의
694,2024-05-15,기획기사,에너지사업운영섹션,관심,“5년간 1700억 벌어” K-조선 덕분에 포스코인터 알짜 사업 키웠다 [비즈360],헤럴드경제
695,2024-05-17,기자 문의,식량바이오사업운영섹션,관심,"뉴스토마토 기자 문의로 유관 협의하여 답변대응했습니다.
Q. 신규 팜농장 확장 부지는 어디인지
A. 아직 미확정, 인도네시아 내 여러 부지를 두고 검토 중인 상황
* 내부참조. 파푸아가 아닌 칼레만탄 정제공장 인근 부지로 확장 예정",뉴스토마토 기자 문의
696,2024-05-18,기획기사,식량바이오사업운영섹션,관심,"“전쟁도 우릴 막을 수 없어”…현장 지킨 ‘이들’, 세계 옥토 곡물사업 기회 얻었다 [떴다 상사맨]",매일경제
697,2024-05-20,기자 문의,E&P사업운영섹션,주의,"그룹에서 진행중인 사업 구조조정 관련하여 포스코인터의 CCS사업도 중단(or축소) 사업 중 하나로 검토된다는 소식을 들었다. 사실여부 및 사업 현황을 알려달라'는 요청을 받았습니다.
사업부서와 확인해봤는데, 작년 추진했었던 텍사스 CCS사업이 중단된 상황이며, 다른 사업도 추진여부가 불분명 하기에 특별히 드릴 수 있는 코멘트가 없으니 저희쪽에서 일반적인 내용으로 대응해 달라고 합니다.
이에 아래와 같이 명확하지 않은 입장의 답을 주려고 합니다.
""CCS사업은 지속 예정이며, 경영여건과 글로벌 트랜드를 보다 면밀히 고려해 CCS전략을 수립하겠다""
정도로 명확하 지 않게 답변을 주려고 합니다.
최현재 기자는 일전에 포스코그룹 구조조정 여부 관련하여 회사 현황 문의한 바 있으며
당시 저희 쪽에서는 의도적으로 답을 주지 않았음에도 포스코그룹 사업 슬림화 기사를 작성한바 있습니다.",매일경제 최현재 기자
698,2024-05-21,잠재 이슈,E&P사업운영섹션,관심,"세넥스에너지 한유미법인장 한-호 경제협력위원회 주관 '한-호주 여성리더십' 패널로 참가하신다고 하시어, 홍보그룹에 공유 주셨습니다. 작은 행사이고 로컬신문정도에 기사화가 될까 정도라고 하나, 사전 공유 주셨다고 합니다. 참고 부탁 드립니다.
https://akbc.glueup.com/event/australia-korea-women-in-leadership-104322/",
699,2024-05-21,기자 문의,HR그룹,관심,"이전혁 전 부문장이 사장보좌역으로 분기보고서에 명시되어 있던데 해당 보직은 어떤 업무를 하는 것인지?
최근 장인화 회장으로 교체된 후 그룹에서 사업을 재편하고 조직을 슬림화 하는 것을 두고 '사업 축소', '인력 재배치' 등 불편한 방향으로 틀어서 쓸 수도 있으니 매체 문의시 잘 정리 부탁드리옵니다. CCS사업, 수소 사업 관련해 축소 가능성 高 등이 되겠습니다~",글로벌이코노믹 김정희 기자
700,2024-05-21,기획기사,IR그룹,관심,"조 단위 투자 준비 포스코인터내셔널, 재무구조 개선 '총력'",더벨
701,2024-05-22,보도자료,지속가능경영사무국,관심,"포스코인터내셔널, 주미대한제국공사관에 포스아트 활용한 안내판 제작 기증",
702,2024-05-23,보도자료,지속가능경영사무국,관심,"포스코인터내셔널, 베트남서 ‘팁스다운 월드쇼’ 개최해 유망 중소?벤처기업 해외 진출 지원",
703,2024-06-01,기획기사,HR그룹,관심,송도맘'도 반한 K상사맨 점심 한끼…'특급호텔 뷰'도 눈길[회사의맛],이데일리
704,2024-06-01,기획기사,HR그룹,관심,“4년만에 다시 떴다”…더 넓은 세상 경험하고 싶은 청년들 ‘이 기회’ 잡으세요 [떴다 상사맨],매일경제
705,2024-06-03,기자 문의,친환경사업운영섹션,관심,"Q: 포인터 탄자니아 마다가스카르에 흑연사업하던데, 포스코인터내셔널은 아프리카를 주목하고 있다고 봐도되냐?
- 포인터는 20년이 넘도록 비철광물사업을 해왔고, 비철광물은 대부분 개발도상국에 매장량이 많기 때문에 예전부터 지속적으로 스터디를 해왔다.
지금와서 주목을 한다기보다, 이전부터 사업을 위해 스터디를 해왔다고 보면 된다.
오히려 회사의 주력사업은 현재는 에너지사업에 조금더 포커스가 있다.
Q: 한아프리카 정상회의 포스코는 뭐 발표같은것이 있느냐?
- 포스코는 모르겠고, 포스코인터는 특별한 발표 없는것으로 알고잇다.",뉴스핌 김아영기자
706,2024-06-03,잠재 이슈,E&P사업운영섹션,관심,"https://n.news.naver.com/mnews/article/020/0003568382?sid=100
위 기사 관련하여 동해 가스전 사업하는 사업운영그룹에 문의해 봤는데
아직까지 본인들도 파악을 못한 상황이라고 합니다..
확인되는대로 연락을 준다고 합니다.",
707,2024-06-03,기자 문의,E&P사업운영섹션,주의,"""대한민국 에너지 기업의 일원으로서 매우 기쁜 소식이다. 다만 에너지 탐사는 워낙 변수가 많고 결과를 장담하기 어려워 상황을 예의 주시하겠다."" 라고 응답했습니다.",동아일보 한재희 팀장
708,2024-06-03,기자 문의,E&P사업운영섹션,주의,"Q: 포인터주가가 난리인데 실제 연관이 된거냐?
- 가스시추사업에 강점을 갖고 오랬동안 사업을 해왔다는것, 동해가스전 스터디중이라는점, 그리고 포항이라는 점 때문에 주가가 많이 오르고 있는것 같다. 다만, 현재 발표된 내용과 직접적 연관 되어 호재가 있는것은 아니다.",뉴데일리경제 안종현 차장
709,2024-06-03,기획기사,에너지사업운영섹션,관심,“신재생·원전만으로 안돼”…LNG에 베팅하는 산업계,국민일보
710,2024-06-04,기자 문의,E&P사업운영섹션,관심,"Q. 세넥스에너지 증자 관련 핸콕과 나눠서 투자하는 건인지?
A. 포인터 및 핸콕 합작 지분비율(50.1% / 49.9%)에 따른 투자 약 3000억원씩 집행하는 건입니다.",연합인포맥스 김경림 기자 문의
711,2024-06-04,기자 문의,E&P사업운영섹션,관심,"Q. 그 세넥스에너지 자료 봤는데, 한가지 궁금한게 있어서요! 이번에 3000억원 가량을 투자하고, 인수할때 2800억원을 투자해서 총 5800억원을 투자한게 맞을까요? A. 당사 투자액수만을 정리하자면, 2022년 지분 50.1% 인수 위한 4052억 원 투자 이후, 같은 해 3배 증산 위해 1400억을, 2024년 3000억 추가 투자하는 건입니다.",아시아투데이 이지선 기자
712,2024-06-04,기자 문의,친환경사업운영섹션,관심,"회장님 탄자니아 대통령 접견 관련 문의
답 : 민간외교 차원에서 만났고 향후 자원개발 등 협력 및 우호증진 목적. 탄자니아, 마다가스카르 흑연사업은 작년 MOU이후 변동사항 없으며 현재 투자심사 중. 계획대로 진행된다면 26년 즈음 초도물량 거래 예상.",채널A 신선미 기자
713,2024-06-04,기자 문의,E&P사업운영섹션,주의,"매체 특성 감안하여 개발 과정 설명 이외에 의견이나 평가, 예측 문의는 답하지 않았습니다",경향신문 김경학 기자
714,2024-06-04,보도자료,E&P사업운영섹션,관심,"포스코인터내셔널, 자회사 세넥스에너지 통해 호주 천연가스 증산계획 박차",
715,2024-06-05,잠재 이슈,E&P사업운영섹션,관심,"한국석유공사 배포자료 통해 당사 미얀마 AD-7 유망성 평가를 최근 언급되는 ACE-GEO와 함께 진행했다는 내용 언급되었습니다.
유관부서에 관련 팩트체크 문의해놓은 상황입니다.",
716,2024-06-05,기자 문의,E&P사업운영섹션,주의,"액트지오 대표 ""세계 최고의 회사…심해 저류층 탐사에 특화""
출처 : 연합뉴스 | 네이버 - https://naver.me/xv3z0FRl
엑트지오가 업계에서 어떤위치의 회사인지, 신빙성이 있는 이야기인지 등 문의했습니다.
현업과 확인해보겠습니다.",조선일보 문의
